run_id,slot_id,proof_x_mm,proof_y_mm,placed_w_mm,placed_h_mm,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px
run_d4n,sl_x4c,105.303,19.750,157.044,104.433,833.84,0.00,2667.81,2160.00
run_h6s,sl_h9t,20.993,18.756,105.853,70.456,0.00,0.00,3024.00,1950.06
run_d4n,sl_p5s,28.407,147.246,182.259,121.256,2400.00,0.00,4800.00,3200.00
run_h6s,sl_p5s,139.677,150.261,86.206,129.153,0.00,0.00,1920.00,2552.47
run_d4n,sl_b7r,140.324,142.404,86.052,128.844,0.00,316.29,2880.00,4144.99
run_d4n,sl_d2k,18.851,149.243,174.455,115.864,157.76,0.00,2675.30,2050.00
run_t9x,sl_d2k,141.232,141.118,84.813,127.768,0.00,210.86,1920.00,2763.33
run_d4n,sl_h9t,253.892,9.367,148.739,98.941,0.00,143.17,2736.00,1717.31
run_k7p,sl_q1m,145.931,18.545,89.883,135.175,0.00,0.00,2500.00,2944.44
run_m2q,sl_n8v,21.612,18.024,107.203,71.286,0.00,0.00,4536.00,2925.08
run_t9x,sl_q1m,136.642,-17.414,96.787,145.806,0.00,1276.80,3360.00,4636.80
run_k7p,sl_b7r,21.593,18.044,106.861,71.443,0.00,0.00,3024.00,1950.06
run_m2q,sl_d2k,16.402,145.509,180.342,119.892,2136.00,0.00,4536.00,3200.00
run_k7p,sl_d2k,136.444,-16.851,96.874,145.689,0.00,1276.80,3360.00,4636.80
run_h6s,sl_b7r,253.450,7.447,149.007,99.179,0.00,214.75,4104.00,2575.97
run_m2q,sl_p5s,17.154,150.805,174.681,115.946,157.76,0.00,2675.30,2050.00
run_t9x,sl_x4c,30.975,145.978,179.604,120.252,1875.00,0.00,3750.00,2500.00
run_t9x,sl_b7r,253.634,9.191,148.323,99.308,0.00,214.75,4104.00,2575.97
run_k7p,sl_x4c,138.441,143.557,80.895,121.658,0.00,180.98,1920.00,2812.09
run_m2q,sl_q1m,135.027,-15.695,97.184,145.369,0.00,851.20,2240.00,3091.20
run_h6s,sl_d2k,27.559,145.657,182.587,121.547,1875.00,0.00,3750.00,2500.00
run_t9x,sl_p5s,19.251,149.586,173.966,116.294,201.91,0.00,3424.04,2624.00
run_m2q,sl_x4c,252.500,10.831,148.932,99.011,0.00,143.17,2736.00,1717.31
run_m2q,sl_h9t,137.031,140.664,85.162,127.385,0.00,316.29,2880.00,4144.99
run_t9x,sl_n8v,147.069,17.609,88.655,133.530,0.00,0.00,2500.00,2944.44
run_d4n,sl_q1m,137.272,-11.649,93.056,139.277,0.00,851.20,2240.00,3091.20
run_h6s,sl_x4c,103.691,19.256,157.327,104.684,1067.27,0.00,3414.63,2765.00
run_k7p,sl_n8v,18.198,144.709,179.766,120.156,1668.75,0.00,3543.75,2500.00
run_m2q,sl_b7r,146.349,18.524,90.171,134.879,0.00,0.00,3200.00,3768.89
run_k7p,sl_h9t,22.342,149.715,171.077,114.148,201.91,0.00,3424.04,2624.00
run_k7p,sl_p5s,252.792,11.886,145.810,97.477,0.00,214.75,4104.00,2575.97
run_h6s,sl_q1m,26.907,147.659,174.768,116.143,0.00,0.00,3222.13,2624.00
run_d4n,sl_n8v,22.754,19.251,105.663,70.287,0.00,0.00,4536.00,2925.08
run_t9x,sl_h9t,24.439,17.108,105.368,70.548,0.00,0.00,3024.00,1950.06
run_h6s,sl_n8v,137.773,-11.619,90.968,136.259,0.00,1276.80,3360.00,4636.80
