run_id,asset_id,proxy_width_px,proxy_height_px
run_k7p,im_2c7,3024,2016
run_k7p,im_4d1,2500,3750
run_k7p,im_5f8,4104,2736
run_k7p,im_7a3,3942,2624
run_k7p,im_8e6,1920,2880
run_k7p,im_b4a,3750,2500
run_k7p,im_c9d,3360,5040
run_k7p,im_e2b,4147,2765
run_k7p,im_f05,2016,1512
run_m2q,im_2c7,4536,3024
run_m2q,im_4d1,3200,4800
run_m2q,im_5f8,2736,1824
run_m2q,im_7a3,3080,2050
run_m2q,im_8e6,2880,4320
run_m2q,im_b4a,4800,3200
run_m2q,im_c9d,2240,3360
run_m2q,im_e2b,3240,2160
run_m2q,im_f05,3024,2268
run_t9x,im_2c7,3024,2016
run_t9x,im_4d1,2500,3750
run_t9x,im_5f8,4104,2736
run_t9x,im_7a3,3942,2624
run_t9x,im_8e6,1920,2880
run_t9x,im_b4a,3750,2500
run_t9x,im_c9d,3360,5040
run_t9x,im_e2b,4147,2765
run_t9x,im_f05,2016,1512
run_d4n,im_2c7,4536,3024
run_d4n,im_4d1,3200,4800
run_d4n,im_5f8,2736,1824
run_d4n,im_7a3,3080,2050
run_d4n,im_8e6,2880,4320
run_d4n,im_b4a,4800,3200
run_d4n,im_c9d,2240,3360
run_d4n,im_e2b,3240,2160
run_d4n,im_f05,3024,2268
run_h6s,im_2c7,3024,2016
run_h6s,im_4d1,2500,3750
run_h6s,im_5f8,4104,2736
run_h6s,im_7a3,3942,2624
run_h6s,im_8e6,1920,2880
run_h6s,im_b4a,3750,2500
run_h6s,im_c9d,3360,5040
run_h6s,im_e2b,4147,2765
run_h6s,im_f05,2016,1512
