run_id,mark_id,nominal_x_mm,nominal_y_mm,measured_x_mm,measured_y_mm
run_k7p,mk_a,12.000,12.000,13.1044,11.5356
run_k7p,mk_b,408.000,12.000,408.5896,11.5356
run_k7p,mk_c,12.000,285.000,13.1044,284.8905
run_k7p,mk_d,408.000,285.000,408.5896,284.8905
run_m2q,mk_a,12.000,12.000,11.2928,12.6292
run_m2q,mk_b,408.000,12.000,408.0452,12.6292
run_m2q,mk_c,12.000,285.000,11.2928,285.3835
run_m2q,mk_d,408.000,285.000,408.0452,285.3835
run_t9x,mk_a,12.000,12.000,13.4136,10.9952
run_t9x,mk_b,408.000,12.000,408.5424,10.9952
run_t9x,mk_c,12.000,285.000,13.4136,284.5685
run_t9x,mk_d,408.000,285.000,408.5424,284.5685
run_d4n,mk_a,12.000,12.000,11.6972,13.1608
run_d4n,mk_b,408.000,12.000,407.9348,13.1608
run_d4n,mk_c,12.000,285.000,11.6972,285.7240
run_d4n,mk_d,408.000,285.000,407.9348,285.7240
run_h6s,mk_a,12.000,12.000,10.8188,11.2496
run_h6s,mk_b,408.000,12.000,407.7692,11.2496
run_h6s,mk_c,12.000,285.000,10.8188,284.4680
run_h6s,mk_d,408.000,285.000,407.7692,284.4680
